aX,aY,aZ,gX,gY,gZ
0.142,0.073,-0.289,20.020,-16.602,-62.073
0.244,0.024,-0.345,22.583,-24.902,-55.420
0.287,0.005,-0.363,24.719,-32.104,-49.011
0.347,-0.007,-0.397,28.015,-43.884,-36.316
0.506,-0.049,-0.481,27.832,-47.729,-29.968
0.527,-0.107,-0.478,14.160,-52.368,-19.043
0.553,-0.187,-0.477,-1.221,-54.321,-14.893
0.641,-0.172,-0.470,-41.809,-57.617,-5.188
0.805,-0.087,-0.465,-60.608,-59.509,1.831
0.865,-0.047,-0.477,-74.585,-61.157,10.071
0.913,-0.014,-0.487,-87.524,-61.646,27.954
0.947,-0.013,-0.480,-90.393,-60.425,36.499
0.929,-0.035,-0.433,-98.816,-56.763,49.377
0.960,-0.042,-0.429,-103.943,-55.603,53.406
1.000,-0.000,-0.480,-113.342,-54.199,58.411
1.087,0.117,-0.570,-116.028,-53.528,60.242
1.090,0.137,-0.556,-116.943,-52.246,61.523
1.062,0.125,-0.505,-114.319,-48.218,61.890
0.966,0.070,-0.427,-110.291,-46.143,60.852
0.904,0.092,-0.390,-97.961,-42.908,57.495
0.870,0.128,-0.338,-91.858,-41.870,55.115
0.888,0.159,-0.325,-80.017,-39.429,48.340
0.951,0.298,-0.234,-72.693,-37.903,45.715
